movieId,title,corpus
50,"Usual Suspects, The (1995)",criminal suspect criminalmastermind flashback crime mystery thriller 1995 
51,Guardian Angel (1994),murderofapoliceofficer shootingapoliceofficer policeofficer policeofficerkilled action drama thriller 1994 
52,Mighty Aphrodite (1995),newyorkcity talkingaboutsex husbandwiferelationship hot comedy drama romance 1995 
53,Lamerica (1994),albania onewordtitle poverty fraud adventure drama 1994 
54,"Big Green, The (1995)",closeupofeyes texas fastmotion sportsteam children comedy 1995 
55,Georgia (1995),voyeur sexinbed femalerearnudity femalefrontalnudity drama 1995 
56,Kids of the Round Table (1995),sword magic 11yearold boy adventure children comedy fantasy 1995 
57,Home for the Holidays (1995),thanksgiving gaysibling femaleprotagonist dysfunctionalfamily drama 1995 
58,"Postman, The (Postino, Il) (1994)",postman poetry island poet comedy drama romance 1994 
59,"Confessional, The (Confessionnal, Le) (1995)",referencetojoanofarc 1950s priest hitchcockian drama mystery 1995 
60,"Indian in the Cupboard, The (1995)",robocopcharacter fivewordtitle childprotagonist miniatureperson adventure children fantasy 1995 
61,Eye for an Eye (1996),pantyhosedleg rape vigilante rapeandmurder drama thriller 1996 
62,Mr. Holland's Opus (1995),teaching highschool 1990s deafness drama 1995 
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),hood parody grandmother cultfilm comedy crime 1996 
64,Two if by Sea (1996),painting island thief voyeur comedy romance 1996 
65,Bio-Dome (1996),biodome experiment biosphere slapstickcomedy comedy 1996 
66,Lawnmower Man 2: Beyond Cyberspace (1996),psychotronicfilm computer parkinggarage sword action sci-fi thriller 1996 
67,Two Bits (1995),manwearseyeglasses oldman suicidebyhanging greatdepression drama 1995 
68,French Twist (Gazon maudit) (1995),frated lesbian strongfemalecharacter polyamorousrelationship comedy romance 1995 
69,Friday (1995),adultlivesathome hat druguser drug comedy 1995 
70,From Dusk Till Dawn (1996),sexoffender vampire stripper rapevictim action comedy horror thriller 1996 
71,Fair Game (1995),femalelawyer spy basedonnovel womaninjeopardy action 1995 
72,Kicking and Screaming (1995),femalestockingedlegs pantyhose slacker beerdrinking comedy drama 1995 
73,"Misérables, Les (1995)",lawyer boxer jewish parisfrance drama war 1995 
74,Bed of Roses (1996),florist flower widower rooftop drama romance 1996 
75,Big Bully (1996),closeupofeyes closeupoflips closeupofmouth bully comedy drama 1996 
76,Screamers (1995),stopmotion mattepainting miniaturemodel shakespeareanquotation action sci-fi thriller 1995 
77,Nico Icon (1995),frated femalemusician singersongwriter interview documentary 1995 
78,"Crossing Guard, The (1995)",hitandrun obsession forgiveness loneliness action crime drama thriller 1995 
79,"Juror, The (1996)",femalefrontalnudity femalenudity ankleholster ankle drama thriller 1996 
80,"White Balloon, The (Badkonake sefid) (1995)",money littlegirl shopkeeper snakecharmer children drama 1995 
81,Things to Do in Denver When You're Dead (1995),debt contractkiller onelastjob gangster crime drama romance 1995 
82,Antonia's Line (Antonia) (1995),frated feministfilm characternameastitle onewordtitle comedy drama 1995 
83,Once Upon a Time... When We Were Colored (1995),segregation ruralsetting racerelations prejudice drama romance 1995 
84,Last Summer in the Hamptons (1995),frated longisland actress writtenanddirectedbycastmember comedy drama 1995 
85,Angels and Insects (1995),aristocrat insect england barechestedmale drama romance 1995 
86,White Squall (1996),sail squall storm malebonding action adventure drama 1996 
87,Dunston Checks In (1996),brotherbrotherrelationship airduct hotelowner concierge children comedy 1996 
88,Black Sheep (1996),clumsiness embarrassment politicalcampaign slapstickcomedy comedy 1996 
89,Nick of Time (1995),realtime conservatism vigilantism characterrepeatssomeoneelse'sdialogue action thriller 1995 
90,The Journey of August King (1995),slave freedom slaveowner law drama 1995 
92,Mary Reilly (1996),housemaid servant laboratory butler drama horror thriller 1996 
93,Vampire in Brooklyn (1995),vampire yelloweyes africanamerican brooklynnewyorkcity comedy horror romance 1995 
94,Beautiful Girls (1996),cheatingwife skank lovesknowsnoageboundaries bangs comedy drama romance 1996 
95,Broken Arrow (1996),malemalerelationship goodversusevil evilman villain action adventure thriller 1996 
96,In the Bleak Midwinter (1995),christmas actor play britishrenaissance comedy drama 1995 
97,"Hate (Haine, La) (1995)",police arab gun ghetto crime drama 1995 
98,Shopping (1994),shopping shop shoppingmall stealing action thriller 1994 
99,Heidi Fleiss: Hollywood Madam (1995),narration prostitution documentary 1995 
100,City Hall (1996),mayor dealer drugdealer deputymayor drama thriller 1996 
101,Bottle Rocket (1996),texas caper darkcomedy motel adventure comedy crime romance 1996 
102,Mr. Wrong (1996),date singlewoman televisionstudio stalker comedy 1996 
103,Unforgettable (1996),selfexperimentation implantedmemory murder memory mystery sci-fi thriller 1996 
104,Happy Gilmore (1996),golf golfball golfcourse blackpanties comedy 1996 
105,"Bridges of Madison County, The (1995)",bridge love farm photographer drama romance 1995 
106,Nobody Loves Me (Keiner liebt mich) (1994),frated femalenudity bath comedy drama 1994 
107,Muppet Treasure Island (1996),breakingthefourthwall misspiggycharacter swedishchefcharacter kermitthefrogcharacter adventure children comedy musical 1996 
108,Catwalk (1996),fashion parisfrance onewordtitle newyorkcity documentary 1996 
109,Headless Body in Topless Bar (1995),toplessbar topless stripper jeans comedy drama thriller 1995 
110,Braveheart (1995),scotland revolt basedontruestory england action drama war 1995 
111,Taxi Driver (1976),nan crime drama thriller 1976 
112,Rumble in the Bronx (Hont faan kui) (1995),coorslight coastguard helicopter collapsingbuilding action adventure comedy crime 1995 
113,Before and After (1996),basedonnovel suspect lie boyfriendgirlfriendrelationship drama mystery 1996 
114,Margaret's Museum (1995),alliterationintitle twowordtitle nameintitle femalenameintitle drama 1995 
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",claimintitle ruralsetting gascony missingperson comedy 1995 
116,Anne Frank Remembered (1995),referencetoannefrank 1940s 1930s soldier documentary 1995 
117,"Young Poisoner's Handbook, The (1995)",poisoner murderer deathbypoison murderbypoison crime drama 1995 
118,If Lucy Fell (1996),love roommate newyorkcity lingerieslip comedy romance 1996 
119,"Steal Big, Steal Little (1995)",lawyer estate twinbrother brotherbrotherrelationship comedy 1995 
120,Race the Sun (1996),highschoolstudent teenageboy teenagegirl solarcar adventure comedy drama 1996 
121,"Boys of St. Vincent, The (1992)",orphanage boy priest sexualabuse drama 1992 
122,Boomerang (1992),advertisingexecutive africanamericanprotagonist yuppie chauvinist comedy romance 1992 
123,Chungking Express (Chung Hing sam lam) (1994),hongkong spokeninnerthoughts drugsmuggling expirationdate drama mystery romance 1994 
124,"Star Maker, The (Uomo delle stelle, L') (1995)",girl nipples breasts unfaithfulness drama 1995 
125,Flirting With Disaster (1996),roadmovie husbandwiferelationship overalls dysfunctionalfamily comedy 1996 
126,"NeverEnding Story III, The (1994)",sequelbynameonly cultfilm playingguitar newkidinschool adventure children fantasy 1994 
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",bellydancing pregnantfromrape teenagesexuality pregnantwomanvomiting drama 1994 
128,Jupiter's Wife (1994),centralpark americansocietyforthepreventionofcrueltytoanimals park actor documentary 1994 
129,Pie in the Sky (1996),dance trafficjam traffic helicopter comedy romance 1996 
130,Angela (1995),girl mentalillness tweengirl sistersisterrelationship drama 1995 
131,Frankie Starlight (1995),boy ireland writer flashback drama romance 1995 
132,Jade (1995),femalefullfrontalnudity murderofanudewoman pantiespulleddown breasts thriller 1995 
133,Nueba Yol (1995),newyork intentionallymisspelledtitle snowman snowballfight comedy drama 1995 
134,Sonic Outlaws (1995),copyright guerillaart media documentary 1995 
135,Down Periscope (1996),womaninuniform cook electrician sonaroperator comedy 1996 
136,From the Journals of Jean Seberg (1995),marriage fbi blackpanthers politics documentary 1995 
137,Man of the Year (1995),magazine centerfold contest date documentary 1995 
138,"Neon Bible, The (1995)",teenageboy 1940s britishrenaissance georgia drama 1995 
139,Target (1995),nan action drama 1995 
140,Up Close and Personal (1996),mentorprotegerelationship journalism televisionnews televisionbroadcast drama romance 1996 
141,"Birdcage, The (1996)",gayfather remakeoffrenchfilm basedonplay transvestism comedy 1996 
142,Shadows (Cienie) (1988),nan drama 1988 
143,Gospa (1995),priest nun semireligious propaganda drama 1995 
144,"Brothers McMullen, The (1995)",irishcatholic longisland lowbudgetfilm lossoffather comedy 1995 
145,Bad Boys (1995),criminalinvestigation murderinvestigation usa unitedstates action comedy crime drama thriller 1995 
146,"Amazing Panda Adventure, The (1995)",boyfriendgirlfriendrelationship actorsharesfirstnamewithcharacter noopeningcredits panda adventure children 1995 
147,"Basketball Diaries, The (1995)",addiction childhoodfriend studentathlete basketball drama 1995 
148,"Awfully Big Adventure, An (1995)",accidentalincest overalls speech manwearseyeglasses drama 1995 
149,Amateur (1994),pornographer newyorkcity nun amnesia crime drama thriller 1994 
150,Apollo 13 (1995),1970s survival astronaut spacemission adventure drama imax 1995 
151,Rob Roy (1995),scotland highlands 18thcentury flintlockpistol action drama romance war 1995 
152,"Addiction, The (1995)",psychotronicfilm vampire newyork drugs drama horror 1995 
153,Batman Forever (1995),brucewaynecharacter batmancharacter alfredpennyworthcharacter harveydentcharacter action adventure comedy crime 1995 
154,Beauty of the Day (Belle de jour) (1967),nan drama 1967 
155,Beyond Rangoon (1995),burma escape dictatorship doctor adventure drama war 1995 
156,Blue in the Face (1995),barebreasts toplessfemalenudity husbandwiferelationship cigarsmoking comedy drama 1995 
157,Canadian Bacon (1995),internationalrelations thewhitehouse unitedstates president comedy war 1995 
158,Casper (1995),ghost mansion spirit friendlyghost adventure children 1995 
159,Clockers (1995),italianamerican jewishamerican brooklynbridge referencetorosaparks crime drama mystery 1995 
160,Congo (1995),lostcity gorilla diamond talkinggorilla action adventure mystery sci-fi 1995 
161,Crimson Tide (1995),submarine u.s.navy 1990s submarinecaptain drama thriller war 1995 
162,Crumb (1994),robertcrumb cartoonist undergroundcomic psychotronicfilm documentary 1994 
163,Desperado (1995),contemporarywestern mexican oneagainstmany lonewolf action romance western 1995 
164,Devil in a Blue Dress (1995),africanamerican jazzclub privatedetective missingperson crime film-noir mystery thriller 1995 
165,Die Hard: With a Vengeance (1995),johnmcclanecharacter timebomb goodversusevil malebuttclench action crime thriller 1995 
166,"Doom Generation, The (1995)",onefemaletwomalesthreesome pubichair fellatio threesome comedy crime drama 1995 
167,Feast of July (1995),sexscene cobblertheshoemaker shoe 19thcentury drama 1995 
168,First Knight (1995),basedonlegend lovetriangle romanticdrama arthurianlegend action drama romance 1995 
169,Free Willy 2: The Adventure Home (1995),whale boy oiltanker oilspill adventure children drama 1995 
170,Hackers (1995),computervirus computer cyberpunk hacker action adventure crime thriller 1995 
171,Jeffrey (1995),gay gaypriest newyorkcity gayleadcharacter comedy drama 1995 
172,Johnny Mnemonic (1995),implantedmemory virtualreality cyberspace erasedmemory action sci-fi thriller 1995 
173,Judge Dredd (1995),basedoncomicbook cultfilm judge police action crime sci-fi 1995 
174,Jury Duty (1995),jury dog court hotel comedy 1995 
175,Kids (1995),virgin rape swimminginunderwear sexualabuse drama 1995 
176,Living in Oblivion (1995),neoscrewballcomedy lookingatoneselfinamirror 1990s filmmaking comedy 1995 
177,Lord of Illusions (1995),neonoir privatedetective magician illusionist horror 1995 
178,Love & Human Remains (1993),lesbian dominatrix gay sex comedy drama 1993 
179,Mad Love (1995),hitchhiking brieffemalefrontalnudity attemptedsuicide voyeur drama romance 1995 
180,Mallrats (1995),mall jayandsilentbob minidress blonde comedy romance 1995 
181,Mighty Morphin Power Rangers: The Movie (1995),costume fakemustache warrioress prehistory action children 1995 
182,Moonlight and Valentino (1995),femalerearnudity sistersisterrelationship housepainter widow drama romance 1995 
183,Mute Witness (1994),mute chase russianmafia cultfilm comedy horror thriller 1994 
184,Nadja (1994),vampire femalevampire boxingpractice morgue drama 1994 
185,"Net, The (1995)",computer identity identitytheft computerhacker action crime thriller 1995 
186,Nine Months (1995),timefortitle baddream closeupofeyes closeupoflips comedy romance 1995 
187,Party Girl (1995),femalestockingedlegs titledirectedbyfemale triplefrated library comedy 1995 
188,"Prophecy, The (1995)",profanity pornmagazine pizza blackcomedy fantasy horror mystery 1995 
189,Reckless (1995),christmas femaleprotagonist fictionalgameshow trauma comedy fantasy 1995 
190,Safe (1995),psychiatrist housewife allergy femaleprotagonist thriller 1995 
191,"Scarlet Letter, The (1995)",17thcentury adultery letter swimming drama romance 1995 
192,The Show (1995),hiphop concertfilm vulgarity documentary 1995 
193,Showgirls (1995),stripper lapdancing femalenudity striptease drama 1995 
194,Smoke (1995),smoke cigarettesmoking deathofwife year1990 comedy drama 1995 
195,Something to Talk About (1995),adulteroushusband femaleprotagonist reconciliation scandal comedy drama romance 1995 
196,Species (1995),interspeciessex sexwithanalienwoman seduction sexualdesire horror sci-fi 1995 
197,"Stars Fell on Henrietta, The (1995)",childinjeopardy familyinjeopardy reallifemotheranddaughterplaymotheranddaughter oilfieldwildcatter drama 1995 
198,Strange Days (1995),cyberpunk virtualreality murder rape action crime drama mystery sci-fi thriller 1995 
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",nan drama musical romance 1964 
200,"Tie That Binds, The (1995)",mantiedup boundandgagged womantiedup heldhostage thriller 1995 
201,Three Wishes (1995),son drifter dog baseball drama fantasy 1995 
202,Total Eclipse (1995),poet 1870s pregnantwife absinthe drama romance 1995 
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",dragqueen ontheroad newyorkcity domesticviolence comedy 1995 
204,Under Siege 2: Dark Territory (1995),repeatsequel timebomb goodversusevil mankillsawoman action 1995 
205,Unstrung Heroes (1995),unclenephewrelationship terminalillness basedonmemoir eccentricity comedy drama 1995 
206,Unzipped (1995),fashion onewordtitle fashionrunway modeling documentary 1995 
207,"Walk in the Clouds, A (1995)",fallinginlove 1940s postworldwarii aftermathofworldwarii drama romance 1995 
208,Waterworld (1995),nonconsensualhaircut postapocalypse swimming globalwarming action adventure sci-fi 1995 
209,White Man's Burden (1995),blackbourgeois alternatereality alternatehistory dystopia drama 1995 
210,Wild Bill (1995),blackandwhitetocolor twogunholster gunholster gun western 1995 
211,"Browning Version, The (1994)",army centralintelligenceagency cricketthesport firework drama 1994 
212,Bushwhacked (1995),slapstickcomedy manhunt fbiagent stupidity adventure comedy crime mystery 1995 
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),stalinism year1936 sovietcitizen nkvd drama 1994 
214,Before the Rain (Pred dozhdot) (1994),endlessloop brotherbrotherincest violence monk drama war 1994 
215,Before Sunrise (1995),conversations train french tourist drama romance 1995 
216,Billy Madison (1995),crudehumor bananapeel highschoolgraduation academicdecathlon comedy 1995 
217,"Babysitter, The (1995)",seductive minidress sexyteenager sexpot drama thriller 1995 
218,Boys on the Side (1995),lesbian femaleprotagonist terminalillness domesticviolence comedy drama 1995 
219,"Cure, The (1995)",tickling barechestedmale barechestedboy barechestedteenageboy drama 1995 
220,Castle Freak (1995),castle monster blindgirl sexscene horror 1995 
222,Circle of Friends (1995),student pregnancy 1950s ireland drama romance 1995 
223,Clerks (1994),friendship lowbudgetfilm friend conveniencestore comedy 1994 
224,Don Juan DeMarco (1995),psychiatrist sexscene attemptedsuicide characternameastitle comedy drama romance 1995 
225,Disclosure (1994),castingcouch sexualharassment seduction fellatio drama thriller 1994 
226,Dream Man (1995),vision psychic erotica police thriller 1995 
227,Drop Zone (1994),terrorist parachute skydiving deathofbrother action thriller 1994 
228,Destiny Turns on the Radio (1995),heist desert supernaturalpower lasvegasnevada comedy 1995 
229,Death and the Maiden (1994),suspense minimalcast singlesetproduction dictatorship drama thriller 1994 
230,Dolores Claiborne (1995),frated watchingtv womanwearseyeglasses characternameastitle drama thriller 1995 
231,Dumb & Dumber (Dumb and Dumber) (1994),roadtrip briefcaseofmoney womanwearingashortskirt kidnapping adventure comedy 1994 
232,Eat Drink Man Woman (Yin shi nan nu) (1994),chef chinesefood cooking daughter comedy drama romance 1994 
233,Exotica (1994),cultfilm publicnudity protectivemale hauntedbythepast drama 1994 
234,Exit to Eden (1994),bondage bdsm spanking losangelespolicedepartment comedy 1994 
235,Ed Wood (1994),director filmdirector misfit friend comedy drama 1994 
236,French Kiss (1995),breakup plantcutting frenchman blonde action comedy romance 1995 
237,Forget Paris (1995),love basketball citynameintitle americanabroad comedy romance 1995 
238,Far From Home: The Adventures of Yellow Dog (1995),labradorretriever dog survival straydog adventure children 1995 
239,"Goofy Movie, A (1995)",fathersonrelationship olderactorsyoungerroles travel singinginavehicle animation children comedy romance 1995 
240,Hideaway (1995),caraccident serialkiller psychopath suicide thriller 1995 
241,Fluke (1995),cartoonontv closeupofeye unitedstates usa children drama 1995 
242,Farinelli: il castrato (1994),barechestedmale maleprotagonist secret brothercastratesbrother drama musical 1994 
243,Gordy (1995),fallingintoaswimmingpool boy girl farm children comedy fantasy 1995 
244,Gumby: The Movie (1995),cultfilm dog 1950s claymation animation children 1995 
245,The Glass Shield (1994),policecorruption rookie sheriff murder crime drama 1994 
246,Hoop Dreams (1994),basketball athlete nationalfilmregistry highschool documentary 1994 
247,Heavenly Creatures (1994),fantasylife orgy sexwithaminor teenagecrush crime drama 1994 
248,Houseguest (1994),cartoonontv suburb debt houseguest comedy 1994 
249,Immortal Beloved (1994),basedonrealperson man ludwigvanbeethoven death drama romance 1994 
250,Heavyweights (Heavy Weights) (1995),fatcamp summercamp mothersonrelationship fathersonrelationship children comedy 1995 
251,"Hunted, The (1995)",ninja samurai assassin bullettrain action 1995 
252,I.Q. (1994),genius mechanic laboratoryanimal manwearseyeglasses comedy romance 1994 
253,Interview with the Vampire: The Vampire Chronicles (1994),vampire gothic betrayal darkhero drama horror 1994 
254,Jefferson in Paris (1995),lafayettecharacter thomasjeffersoncharacter perioddrama marieantoinettecharacter drama 1995 
255,"Jerky Boys, The (1995)",gayslur telephone police mafia comedy 1995 
256,Junior (1994),nightmare manwearseyeglasses scientist baby comedy sci-fi 1994 
257,Just Cause (1995),childgagged murder florida prisoninterview mystery thriller 1995 
258,"Kid in King Arthur's Court, A (1995)",swordandsandal swordandsorcery kickedinthegroin comicviolence adventure children comedy fantasy romance 1995 
259,Kiss of Death (1995),neonoir detective arrest deathofwife crime drama thriller 1995 
260,Star Wars: Episode IV - A New Hope (1977),nan action adventure sci-fi 1977 
261,Little Women (1994),americancivilwar frated femaleprotagonist referencetowilliamshakespeare drama 1994 
262,"Little Princess, A (1995)",india fatherdaughterrelationship orphan basedonnovel children drama 1995 
263,Ladybird Ladybird (1994),children socialservice violence unfitmother drama 1994 
264,"Enfer, L' (1994)",jealousy adultery madness hotel drama 1994 
265,Like Water for Chocolate (Como agua para chocolate) (1992),mexico food marriage love drama fantasy romance 1992 
266,Legends of the Fall (1994),fword noopeningcredits violence sexscene drama romance war western 1994 
267,Major Payne (1995),drillinstructor germanshepherddog characternameastitle armymajor comedy 1995 
268,Little Odessa (1994),illmother faceslap assassin russianmafia crime drama 1994 
269,My Crazy Life (Mi vida loca) (1993),generationx hood hispanic lowrider drama 1993 
270,Love Affair (1994),accidentvictim disabledperson caraccident accident drama romance 1994 
271,Losing Isaiah (1995),baby custodybattle socialworker cartoonontv drama 1995 
272,"Madness of King George, The (1994)",porphyria kingofengland restraint selfdestructiveness comedy drama 1994 
273,Mary Shelley's Frankenstein (Frankenstein) (1994),frankenstein'smonster remake elizabethfrankensteincharacter doctorvictorfrankensteincharacter drama horror sci-fi 1994 
274,Man of the House (1995),gangster threat divorcee singlemother comedy 1995 
275,Mixed Nuts (1994),farce christmas veterinarian christmaseve comedy 1994 
276,Milk Money (1994),blonde boy school classroom comedy romance 1994 
277,Miracle on 34th Street (1994),santaclaus girl remake parade drama 1994 
278,Miami Rhapsody (1995),motherdaughterrelationship fiancefianceerelationship dysfunctionalmarriage wedding comedy 1995 
279,My Family (1995),frated prison hood marriage drama 1995 
280,Murder in the First (1995),alcatraz solitaryconfinement prison rookie drama thriller 1995 
281,Nobody's Fool (1994),grandfathergrandsonrelationship fathersonrelationship smalltown independentfilm comedy drama romance 1994 
282,Nell (1994),twins frated characternameastitle speech drama 1994 
283,New Jersey Drive (1995),police statenameintitle brutality killing crime drama 1995 
284,New York Cop (Nyû Yôku no koppu) (1993),undercovercop scenebeforeopeningcredits nypd beginswithdeath action crime 1993 
285,Beyond Bedlam (1993),drug suicide hallucination serialkiller drama horror 1993 
286,Nemesis 2: Nebula (1995),explosion baby shottodeath assassin action sci-fi thriller 1995 
287,Nina Takes a Lover (1994),womanwearsonlyaman'sshirt love infidelity sex comedy romance 1994 
288,Natural Born Killers (1994),media satire controversy womanontop action crime thriller 1994 
289,Only You (1994),italy sisterinlaw trip soulmate comedy romance 1994 
290,Once Were Warriors (1994),frated newzealand maori gang crime drama 1994 
292,Outbreak (1995),virus epidemic monkey disease action drama sci-fi thriller 1995 
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),hitman girl teenagegirl neonoir action crime drama thriller 1994 
294,"Perez Family, The (1995)",familycharacternameastitle politicalprisoner love immigration comedy romance 1995 
295,"Pyromaniac's Love Story, A (1995)",nan comedy romance 1995 
296,Pulp Fiction (1994),nonlineartimeline overdose drugoverdose bondage comedy crime drama thriller 1994 
297,Panther (1995),blackpanthers blackpantherparty racialprejudice civilrights drama 1995 
298,Pushing Hands (Tui shou) (1992),taichi boy chineserestaurant ancestry drama 1992 
299,Priest (1994),church catholicpriest homosexual sexualrepression drama 1994 
300,Quiz Show (1994),basedontruestory investigation fraud television drama 1994 
301,Picture Bride (Bijo photo) (1994),hawaii frated japaneseinhawaii death drama romance 1994 
302,"Queen Margot (Reine Margot, La) (1994)",france frenchhistory protestant massacre drama romance 1994 
303,"Quick and the Dead, The (1995)",femalegunfighter arizona streetshootout showdown action thriller western 1995 
304,Roommates (1995),grandfather doctor roommate socialworker comedy drama 1995 
305,Ready to Wear (Pret-A-Porter) (1994),fashion fashionshow journalist fashionindustry comedy 1994 
306,Three Colors: Red (Trois couleurs: Rouge) (1994),friendship exjudge eavesdropping judge drama 1994 
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),liberty firstpartoftrilogy trauma tellingajoke drama 1993 
308,Three Colors: White (Trzy kolory: Bialy) (1994),marriage obsession divorce wealth comedy drama 1994 
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",painter fireworks yellowriver teenagegirl drama 1994 
310,Rent-a-Kid (1995),nightmare orphanage familyrelationships orphan comedy 1995 
311,Relative Fear (1994),killerchild psychological death twowordtitle horror thriller 1994 
312,Stuart Saves His Family (1995),publicaccess dysfunctionalfamily avanti hunting comedy 1995 
313,"Swan Princess, The (1994)",princess sorcerer prince king animation children 1994 
314,"Secret of Roan Inish, The (1994)",mermaid ireland basedonbook frated children drama fantasy mystery 1994 
315,"Specialist, The (1994)",barebreasts bomb sexscene sexinshower action drama thriller 1994 
316,Stargate (1994),portal hieroglyph archeology stargate action adventure sci-fi 1994 
317,"Santa Clause, The (1994)",santaclauscharacter christmaseve wordplayintitle gainingweight comedy drama fantasy 1994 
318,"Shawshank Redemption, The (1994)",wrongfulimprisonment basedontheworksofstephenking prison escapefromprison crime drama 1994 
319,Shallow Grave (1994),stabbedintheneck malefullfrontalnudity uncircumcisedpenis penis comedy drama thriller 1994 
320,Suture (1993),amnesia identityswapping filmtheory twin film-noir thriller 1993 
321,Strawberry and Chocolate (Fresa y chocolate) (1993),loyalty communist friendship gay drama 1993 
322,Swimming with Sharks (1995),blackcomedy assistant boss movieproducer comedy drama 1995 
324,"Sum of Us, The (1994)",sydneyaustralia australia approvingfather homosexualson comedy drama 1994 
325,National Lampoon's Senior Trip (1995),harekrishna education letter teacher comedy 1995 
326,To Live (Huozhe) (1994),chinesehistory culturalrevolution familysaga puppetshow drama 1994 
